doc_type,captains_attempted,captains_with_fails,captains_passed,captains_failed_then_passed,captains_failed_and_abandoned,failure_rate_pct,pass_rate_pct,recovery_rate_given_fail_pct,abandonment_rate_given_fail_pct
AADHAAR,14665,1439,14095,894,545,9.81,96.11,62.13,37.87
DL,23303,3308,21954,2011,1297,14.2,94.21,60.79,39.21
FITNESS,9248,2362,8241,1369,993,25.54,89.11,57.96,42.04
INSURANCE,5496,1785,4664,966,819,32.48,84.86,54.12,45.88
PERMIT,9213,1744,8468,1027,717,18.93,91.91,58.89,41.11
RC,19248,6702,15852,3344,3358,34.82,82.36,49.9,50.1
