window_name,hours_in_window,total_requests,total_fulfilled,total_unfulfilled,fulfillment_rate_pct,unfulfilled_rate_pct,share_of_all_unfulfilled_pct,avg_hourly_demand,avg_online_captains,avg_surge_multiplier,avg_eta_min
1. Critical Night Arrival Peak (21:00 - 03:00),6,61400,18654,42746,30.38,69.62,77.64,83.9,12.9,2.09,9.61
2. Early Morning Departure Peak (03:00 - 07:00),4,22975,14806,8169,64.44,35.56,14.84,47.1,16.9,1.53,6.47
"3. Shoulder Transition Windows (07:00-09:00, 19:00-21:00)",4,21550,18633,2917,86.46,13.54,5.3,44.2,25.1,1.19,4.46
4. Daytime Off-Peak Trough (09:00 - 19:00),10,30889,29663,1226,96.03,3.97,2.23,25.3,46.9,1.04,3.66
